constructorId,name_y,totalAvgPositionChange
1,McLaren,-1.8330578512396694
2,BMW Sauber,0.014285714285714285
3,Williams,-1.6745867768595042
4,Renault,-0.8728323699421965
5,Toro Rosso,0.18448637316561844
6,Ferrari,-1.4127659574468086
7,Toyota,-1.0952380952380953
9,Red Bull,-1.1934865900383143
10,Force India,0.15736040609137056
11,Honda,-0.08661417322834646
12,Spyker,3.176470588235294
15,Sauber,0.5498981670061099
16,BAR,-0.9022556390977443
17,Jordan,-1.930232558139535
18,Minardi,4.463414634146342
19,Jaguar,-0.453125
20,Prost,-0.21818181818181817
21,Arrows,0.7254901960784313
22,Benetton,-1.6324786324786325
23,Brawn,0.23529411764705882
24,Stewart,-2.9591836734693877
25,Tyrrell,-2.152941176470588
26,Lola,2.9565217391304346
32,Team Lotus,-1.8224299065420562
34,Brabham,-3.337579617834395
37,March,0.8611111111111112
51,Alfa Romeo,0.06293706293706294
53,Toleman,-2.857142857142857
54,ATS,3.0
55,Theodore,1.0
56,Fittipaldi,2.797872340425532
57,Ensign,5.0
58,Shadow,3.6923076923076925
59,Wolf,-1.88
63,Surtees,2.9393939393939394
64,Hesketh,-3.5483870967741935
66,BRM,-3.211864406779661
73,Parnelli,-2.1875
75,Embassy Hill,10.5
87,Cooper,1.8571428571428572
105,Maserati,-1.3703703703703705
117,Aston Martin,0.4
118,Vanwall,-4.333333333333333
131,Mercedes,-1.202991452991453
132,Lancia,-13.333333333333334
164,HRT,2.764705882352941
166,Virgin,2.0526315789473686
167,Cooper-Maserati,-2.923076923076923
170,Cooper-Climax,-1.9411764705882353
172,Lotus-Climax,-3.169491525423729
176,Lotus-BRM,-4.571428571428571
180,Lotus-Ford,-3.515625
181,Brabham-BRM,3.0
182,Brabham-Ford,-2.6
183,Brabham-Climax,-2.84
187,McLaren-Ford,-0.05555555555555555
191,Brabham-Repco,-1.9180327868852458
194,McLaren-BRM,4.0
196,Matra-Ford,-0.9047619047619048
200,March-Ford,4.0
201,Lotus-Pratt &amp; Whitney,10.0
204,Brabham-Alfa Romeo,-6.653846153846154
205,Lotus,0.8026315789473685
206,Marussia,2.388888888888889
207,Caterham,1.7678571428571428
208,Lotus F1,-0.4935064935064935
209,Manor Marussia,1.7142857142857142
210,Haas F1 Team,-0.481981981981982
211,Racing Point,0.8266666666666667
213,AlphaTauri,0.05084745762711865
214,Alpine F1 Team,0.3076923076923077
